Title,Body,Labels,Milestone,Assignees
"[E4][H5] Editar Evento","PUT /eventos/{id} só dono.\nCritérios:\n- 200 edição\n- 403/409 regras","epic:E4,feature:E4-F5,type:story,area:eventos,priority:P2","S5",
"[E4][H6] Cancelar Evento","DELETE /eventos/{id} se sem inscrições ativas.\nCritérios:\n- 200 cancelado\n- 409 se inscrições","epic:E4,feature:E4-F6,type:story,area:eventos,priority:P2","S6",
"[E4][H7] Meus Eventos","GET /eventos/me.\nCritérios:\n- 200 lista\n- 204 vazio","epic:E4,feature:E4-F7,type:story,area:eventos,priority:P3","S5",
"[E4][H8] Auditoria Eventos","Log criação, edição, cancelamento.\nCritérios:\n- Logs com actor, evento, ação","epic:E4,feature:E4-F8,type:story,area:observabilidade,priority:P3","S6",
"[E5][H1] Criar Inscrição","POST /inscricoes valida vagas.\nCritérios:\n- 201 criada\n- 409 esgotado/duplicado","epic:E5,feature:E5-F1,type:story,area:inscricoes,priority:P1","S5",
"[E5][H2] Minhas Inscrições","GET /inscricoes/me.\nCritérios:\n- 200 lista\n- Ordenação dataInicio","epic:E5,feature:E5-F2,type:story,area:inscricoes,priority:P1","S5",
"[E5][H3] Cancelar Inscrição","DELETE /inscricoes/{id}.\nCritérios:\n- 200 cancelada\n- 403 evento iniciado","epic:E5,feature:E5-F3,type:story,area:inscricoes,priority:P1","S6",
"[E5][H4] Inscrições por Evento","GET /eventos/{id}/inscricoes (promotor).\nCritérios:\n- 200 lista\n- 403 não dono","epic:E5,feature:E5-F4,type:story,area:inscricoes,priority:P2","S6",
"[E5][H5] Consistência Vagas","Garantir lock otimista/transação.\nCritérios:\n- Zero vagas negativas","epic:E5,feature:E5-F5,type:story,area:inscricoes,priority:P2","S6",
"[E5][H6] Auditoria Inscrições","Log criação/cancelamento.\nCritérios:\n- Logs completos","epic:E5,feature:E5-F6,type:story,area:observabilidade,priority:P3","S6",
"[E6][H1] Infra Broker","Subir broker mensageria.\nCritérios:\n- Broker acessível","epic:E6,feature:E6-F1,type:story,area:infra,priority:P1","S6",
"[E6][H2] Publicar Eventos Domínio","Publicar mensagens criação/edição/cancelamento/inscrição.\nCritérios:\n- Idempotência garantida","epic:E6,feature:E6-F2,type:story,area:mensageria,priority:P1","S6",
"[E6][H3] Consumir Emails","Serviço envia emails de eventos/inscrições.\nCritérios:\n- 99% <10s","epic:E6,feature:E6-F3,type:story,area:mensageria,priority:P2","S7",
"[E6][H4] Retry & DLQ","Reprocessamento + fila morta.\nCritérios:\n- Mensagens não perdidas","epic:E6,feature:E6-F4,type:story,area:mensageria,priority:P2","S7",
"[E6][H5] Auditoria Notificações","Log envio e falha emails.\nCritérios:\n- Logs padronizados","epic:E6,feature:E6-F5,type:story,area:observabilidade,priority:P3","S7",
"[E7][H1] Setup BFF","Serviço BFF valida JWT + correlationId.\nCritérios:\n- 100% requests com ID","epic:E7,feature:E7-F1,type:story,area:bff,priority:P1","S7",
"[E7][H2] Orquestra Login/Cadastro","Fluxo combinado para frontend.\nCritérios:\n- Redução roundtrips","epic:E7,feature:E7-F2,type:story,area:bff,priority:P2","S7",
"[E7][H3] Agregar Dados Evento","Endpoint detalhe + status inscrição.\nCritérios:\n- 1 chamada completa","epic:E7,feature:E7-F3,type:story,area:bff,priority:P2","S7",
"[E7][H4] Cache BFF","Cache listagens/detalhes.\nCritérios:\n- Hit rate >40%","epic:E7,feature:E7-F4,type:story,area:bff,priority:P3","S7",
"[E7][H5] Rate Limit Edge","Rate por IP no BFF.\nCritérios:\n- 429 fora limite","epic:E7,feature:E7-F5,type:story,area:seguranca,priority:P2","S8",
"[E8][H1] UI Autenticação","Tela login + refresh silencioso.\nCritérios:\n- Sessão renova até exp refresh","epic:E8,feature:E8-F1,type:story,area:frontend,priority:P1","S7",
"[E8][H2] UI Cadastro","Tela registro com validações.\nCritérios:\n- Erros campo exibidos","epic:E8,feature:E8-F2,type:story,area:frontend,priority:P1","S7",
"[E8][H3] UI Listagem Eventos","Página com filtros básicos.\nCritérios:\n- Paginação funcional","epic:E8,feature:E8-F3,type:story,area:frontend,priority:P2","S8",
"[E8][H4] UI Detalhe + Inscrição","Detalhe evento + inscrever/cancelar.\nCritérios:\n- Atualiza vagas realtime","epic:E8,feature:E8-F4,type:story,area:frontend,priority:P2","S8",
"[E8][H5] UI Perfil Usuário","Exibir/editar perfil (otimista).\nCritérios:\n- Feedback rápido","epic:E8,feature:E8-F5,type:story,area:frontend,priority:P3","S8",
"[E9][H1] Métricas Prometheus","Exportar métricas core.\nCritérios:\n- Latência p95 exposta","epic:E9,feature:E9-F1,type:story,area:observabilidade,priority:P1","S8",
"[E9][H2] Tracing Distribuído","OpenTelemetry + correlationId.\nCritérios:\n- 100% requests críticos trace","epic:E9,feature:E9-F2,type:story,area:observabilidade,priority:P1","S8",
"[E9][H3] Dashboards Grafana","Dashboards auth/eventos/inscrições.\nCritérios:\n- Painéis versionados","epic:E9,feature:E9-F3,type:story,area:observabilidade,priority:P2","S8",
"[E9][H4] Alertas SLA","Alertas login, criação evento, inscrição.\nCritérios:\n- Notificação em canal","epic:E9,feature:E9-F4,type:story,area:observabilidade,priority:P2","S9",
"[E9][H5] Hardening Segurança","Headers, HSTS, body limit, revisão OWASP.\nCritérios:\n- Baseline OWASP aprovado","epic:E9,feature:E9-F5,type:story,area:seguranca,priority:P1","S9",
"[E10][I1] MFA","Adicionar MFA (TOTP/WebAuthn).\nCritérios:\n- 2FA opcional","epic:E10,feature:E10-I1,type:idea,area:seguranca,priority:Future","Backlog",
"[E10][I2] Lista de Espera","Fila quando vagas esgotam.\nCritérios:\n- Ordem preservada","epic:E10,feature:E10-I2,type:idea,area:inscricoes,priority:Future","Backlog",
"[E10][I3] Pagamentos","Integrar pagamentos inscrições.\nCritérios:\n- Status pendente/confirmada","epic:E10,feature:E10-I3,type:idea,area:monetizacao,priority:Future","Backlog",
"[E10][I4] Reativar Conta","Fluxo reativação pós exclusão.\nCritérios:\n- Link seguro","epic:E10,feature:E10-I4,type:idea,area:usuarios,priority:Future","Backlog",
"[E10][I5] Exportação LGPD","Exportar dados pessoais usuário.\nCritérios:\n- Formato estruturado","epic:E10,feature:E10-I5,type:idea,area:lgpd,priority:Future","Backlog",
"[E10][I6] Webhooks Parceiros","Enviar eventos externos.\nCritérios:\n- Assinatura segura","epic:E10,feature:E10-I6,type:idea,area:integracao,priority:Future","Backlog",
